Frequency (Hz)	Level (dB)
3095.397949	-70.580574
3100.781250	-72.147118
3106.164551	-76.844482
3111.547852	-70.997391
3116.931152	-67.425507
3122.314453	-68.576775
3127.697754	-69.958099
3133.081055	-70.046394
3138.464355	-74.185608
3143.847656	-79.322151
3149.230957	-71.121719
3154.614258	-69.283035
3159.997559	-68.348221
3165.380859	-70.650467
3170.764160	-69.980347
3176.147461	-67.404266
3181.530762	-69.589035
3186.914062	-66.272781
3192.297363	-65.495987
3197.680664	-71.780243
3203.063965	-80.014931
3208.447266	-71.409531
3213.830566	-66.382637
3219.213867	-66.812210
3224.597168	-66.482010
3229.980469	-71.539070
3235.363770	-73.751953
3240.747070	-71.793579
3246.130371	-68.809235
3251.513672	-67.844078
3256.896973	-67.652672
3262.280273	-71.515862
3267.663574	-66.518448
3273.046875	-67.518440
3278.430176	-71.308479
3283.813477	-69.446945
3289.196777	-63.172714
3294.580078	-61.466793
3299.963379	-59.868992
3305.346680	-63.308426
3310.729980	-62.322273
3316.113281	-60.803299
3321.496582	-66.385338
3326.879883	-66.189835
3332.263184	-60.677776
3337.646484	-60.732029
3343.029785	-62.672718
3348.413086	-65.795982
3353.796387	-68.098167
3359.179688	-67.516014
3364.562988	-62.644753
3369.946289	-56.401459
3375.329590	-61.997963
3380.712891	-46.276665
3386.096191	-37.905125
3391.479492	-40.636089
3396.862793	-45.747150
3402.246094	-34.644272
3407.629395	-19.001743
3413.012695	-17.955442
3418.395996	-29.442669
3423.779297	-50.917690
3429.162598	-53.308338
3434.545898	-48.797852
3439.929199	-46.619728
3445.312500	-42.163136
3450.695801	-29.258394
3456.079102	-28.136995
3461.462402	-40.111603
3466.845703	-54.041325
3472.229004	-62.656963
3477.612305	-59.380188
3482.995605	-57.501152
3488.378906	-64.125603
3493.762207	-59.259457
3499.145508	-61.548107
3504.528809	-64.939934
3509.912109	-63.723633
3515.295410	-64.787933
3520.678711	-65.759308
3526.062012	-68.079872
3531.445312	-71.028358
3536.828613	-69.051033
3542.211914	-67.193909
3547.595215	-64.923843
3552.978516	-66.254585
3558.361816	-71.867455
3563.745117	-72.095665
3569.128418	-73.306030
3574.511719	-75.345665
3579.895020	-67.596321
3585.278320	-65.881073
3590.661621	-68.335869
3596.044922	-71.320091
3601.428223	-70.366692
3606.811523	-69.919464
3612.194824	-77.756447
3617.578125	-76.696777
3622.961426	-72.315712
3628.344727	-70.154022
3633.728027	-73.957726
3639.111328	-74.582314
3644.494629	-73.201035
3649.877930	-70.857552
3655.261230	-76.413750
3660.644531	-76.858429
3666.027832	-71.878372
3671.411133	-70.327675
3676.794434	-71.022659
3682.177734	-71.223228
3687.561035	-70.365356
3692.944336	-81.757401
3698.327637	-71.579391
3703.710938	-72.317215
3709.094238	-74.849098
3714.477539	-73.029793
3719.860840	-72.615738
3725.244141	-76.645401
3730.627441	-82.621307
3736.010742	-77.332535
3741.394043	-66.095566
3746.777344	-65.628212
3752.160645	-67.869186
3757.543945	-68.829903
3762.927246	-67.714600
3768.310547	-68.774506
3773.693848	-75.227219
3779.077148	-82.933609
3784.460449	-71.521057
3789.843750	-66.832794
3795.227051	-68.760765
3800.610352	-73.227402
3805.993652	-70.167953
3811.376953	-65.604172
3816.760254	-65.493729
3822.143555	-68.136879
3827.526855	-70.176582
3832.910156	-70.234383
3838.293457	-68.275459
3843.676758	-67.597572
3849.060059	-70.829323
3854.443359	-81.210350
3859.826660	-82.008957
3865.209961	-73.028519
3870.593262	-71.821404
3875.976562	-73.495209
3881.359863	-77.932716
3886.743164	-85.127296
3892.126465	-79.064102
3897.509766	-79.024971
3902.893066	-77.715523
3908.276367	-78.738594
3913.659668	-72.524063
3919.042969	-71.996223
3924.426270	-74.158775
3929.809570	-79.278496
3935.192871	-82.854889
3940.576172	-75.616104
3945.959473	-77.394608
3951.342773	-85.964035
3956.726074	-78.491928
3962.109375	-90.438660
3967.492676	-79.967834
3972.875977	-76.766396
3978.259277	-82.724487
3983.642578	-84.691437
3989.025879	-79.141876
3994.409180	-78.899727
3999.792480	-93.963966
4005.175781	-79.142677
4010.559082	-77.993988
4015.942383	-73.093018
4021.325684	-75.375542
4026.708984	-89.595383
4032.092285	-88.081505
4037.475586	-81.195984
4042.858887	-90.298180
4048.242188	-81.752159
4053.625488	-84.417923
4059.008789	-77.535980
4064.392090	-70.015839
4069.775391	-68.377510
4075.158691	-70.002037
4080.541992	-77.448555
4085.925293	-80.460953
4091.308594	-80.737228
4096.691895	-74.869339
4102.075195	-72.996086
4107.458496	-76.513412
4112.841797	-80.180344
4118.225098	-72.116165
4123.608398	-66.988228
4128.991699	-69.506287
4134.375000	-75.846039
4139.758301	-74.689995
4145.141602	-72.632126
4150.524902	-72.527298
4155.908203	-73.372368
4161.291504	-70.344063
4166.674805	-69.682487
4172.058105	-69.836998
4177.441406	-72.569374
4182.824707	-70.602531
4188.208008	-72.526611
4193.591309	-71.211571
4198.974609	-78.055519
4204.357910	-82.444130
4209.741211	-76.139175
4215.124512	-77.692406
4220.507812	-78.165802
4225.891113	-76.358139
4231.274414	-73.295807
4236.657715	-72.520317
4242.041016	-75.418243
4247.424316	-89.193451
4252.807617	-80.935356
4258.190918	-83.934685
4263.574219	-85.528748
4268.957520	-81.916893
4274.340820	-80.142151
4279.724121	-79.340195
4285.107422	-77.290527
4290.490723	-82.894379
4295.874023	-84.351410
4301.257324	-81.562218
4306.640625	-73.014305
4312.023926	-72.153160
4317.407227	-73.605247
4322.790527	-81.773979
4328.173828	-82.541100
4333.557129	-77.755585
4338.940430	-87.805687
4344.323730	-80.301308
4349.707031	-81.765045
4355.090332	-79.119423
4360.473633	-80.454575
4365.856934	-76.857269
4371.240234	-78.659477
4376.623535	-80.496170
4382.006836	-80.773010
4387.390137	-86.300911
4392.773438	-81.275124
4398.156738	-79.555206
4403.540039	-91.385956
4408.923340	-82.126961
4414.306641	-80.629631
4419.689941	-80.024597
4425.073242	-84.349945
4430.456543	-82.911644
4435.839844	-82.031296
4441.223145	-80.415695
4446.606445	-79.508911
4451.989746	-83.051476
4457.373047	-79.062561
4462.756348	-76.918274
4468.139648	-83.865562
4473.522949	-76.491104
4478.906250	-74.983391
4484.289551	-79.608139
4489.672852	-80.808617
4495.056152	-76.871056
4500.439453	-77.116714
4505.822754	-77.940025
4511.206055	-76.676682
4516.589355	-79.614510
4521.972656	-88.923843
4527.355957	-89.420502
4532.739258	-83.951996
4538.122559	-76.895905
4543.505859	-78.097351
4548.889160	-81.357613
4554.272461	-79.626419
4559.655762	-81.146111
4565.039062	-93.145706
4570.422363	-90.659134
4575.805664	-92.246040
4581.188965	-94.190315
4586.572266	-87.493492
4591.955566	-83.222214
4597.338867	-79.220474
4602.722168	-79.966507
4608.105469	-85.342972
4613.488770	-79.645714
4618.872070	-77.901649
4624.255371	-78.829369
4629.638672	-83.663765
4635.021973	-94.581871
4640.405273	-83.182373
4645.788574	-81.741699
4651.171875	-89.144234
4656.555176	-83.820076
4661.938477	-82.289871
4667.321777	-86.354012
4672.705078	-83.794441
4678.088379	-85.632950
4683.471680	-90.063034
4688.854980	-93.611282
4694.238281	-87.953079
4699.621582	-83.354599
4705.004883	-77.611420
4710.388184	-75.666161
4715.771484	-76.031982
4721.154785	-77.478325
4726.538086	-81.296150
4731.921387	-83.504692
4737.304688	-82.482208
4742.687988	-86.510971
4748.071289	-101.430115
4753.454590	-93.395721
4758.837891	-88.290298
4764.221191	-85.375732
4769.604492	-87.855431
4774.987793	-88.480774
4780.371094	-90.883766
4785.754395	-81.106812
4791.137695	-85.288704
4796.520996	-85.494324
4801.904297	-85.952568
4807.287598	-96.417168
4812.670898	-86.301773
4818.054199	-88.930771
4823.437500	-80.148720
4828.820801	-80.454086
4834.204102	-80.603386
4839.587402	-82.728241
4844.970703	-93.045692
4850.354004	-89.421371
4855.737305	-88.976868
4861.120605	-90.712875
4866.503906	-90.129265
4871.887207	-92.758926
4877.270508	-88.455872
4882.653809	-83.744118
4888.037109	-81.356689
4893.420410	-82.318123
4898.803711	-83.998711
4904.187012	-83.231758
4909.570312	-95.292847
4914.953613	-91.389023
4920.336914	-83.337654
4925.720215	-85.605057
4931.103516	-83.356544
4936.486816	-98.391747
4941.870117	-80.616074
4947.253418	-86.075539
4952.636719	-87.504051
4958.020020	-80.503227
4963.403320	-75.190598
4968.786621	-75.667007
4974.169922	-84.792618
4979.553223	-78.645386
4984.936523	-81.599548
4990.319824	-86.298592
4995.703125	-86.045731
5001.086426	-91.618423
5006.469727	-89.189537
5011.853027	-83.206276
5017.236328	-83.101135
5022.619629	-86.739151
5028.002930	-91.287872
5033.386230	-92.689331
5038.769531	-79.896103
5044.152832	-75.314186
5049.536133	-74.860420
5054.919434	-79.829163
5060.302734	-90.285027
5065.686035	-83.854408
5071.069336	-79.019699
5076.452637	-79.653656
5081.835938	-80.474098
5087.219238	-76.076073
5092.602539	-76.060524
5097.985840	-77.281456
5103.369141	-75.230232
5108.752441	-78.214882
5114.135742	-78.366508
5119.519043	-79.537430
5124.902344	-88.330956
5130.285645	-78.931046
5135.668945	-79.129074
5141.052246	-84.414375
5146.435547	-84.288834
5151.818848	-88.250908
5157.202148	-89.197441
5162.585449	-80.929008
5167.968750	-91.705048
5173.352051	-75.392685
5178.735352	-75.046234
5184.118652	-85.720383
5189.501953	-81.827034
5194.885254	-82.836685
5200.268555	-80.939407
5205.651855	-76.107574
5211.035156	-75.302635
5216.418457	-81.568550
5221.801758	-87.990860
5227.185059	-79.441315
5232.568359	-80.335220
5237.951660	-78.502159
5243.334961	-77.193283
5248.718262	-82.108055
5254.101562	-77.519447
5259.484863	-75.990646
5264.868164	-95.004097
5270.251465	-77.047897
5275.634766	-79.231056
5281.018066	-87.190193
5286.401367	-93.915665
5291.784668	-79.673241
5297.167969	-79.340179
5302.551270	-77.073364
5307.934570	-75.209984
5313.317871	-72.868523
5318.701172	-72.318634
5324.084473	-77.371490
5329.467773	-79.200897
5334.851074	-80.456108
5340.234375	-75.320984
5345.617676	-75.402489
5351.000977	-73.714310
5356.384277	-61.793297
5361.767578	-55.384197
5367.150879	-56.737656
5372.534180	-61.301052
5377.917480	-73.444771
5383.300781	-70.733742
5388.684082	-68.845879
5394.067383	-70.753845
5399.450684	-73.037430
5404.833984	-71.472527
5410.217285	-78.138489
5415.600586	-78.577774
5420.983887	-78.259789
5426.367188	-83.759850
5431.750488	-80.121147
5437.133789	-78.532028
5442.517090	-76.501366
5447.900391	-81.411980
5453.283691	-74.510025
5458.666992	-67.931541
5464.050293	-65.314110
5469.433594	-73.753517
5474.816895	-70.386261
5480.200195	-62.619358
5485.583496	-50.106747
5490.966797	-42.211914
5496.350098	-44.311802
5501.733398	-57.574261
5507.116699	-65.247635
5512.500000	-71.723137
5517.883301	-74.686409
5523.266602	-69.340210
5528.649902	-69.670731
5534.033203	-68.309143
5539.416504	-71.448433
5544.799805	-76.795319
5550.183105	-74.499718
5555.566406	-80.544823
5560.949707	-80.526169
5566.333008	-76.895775
5571.716309	-70.782738
5577.099609	-78.707962
5582.482910	-76.777061
5587.866211	-80.064682
5593.249512	-81.907784
5598.632812	-84.490028
5604.016113	-83.440285
5609.399414	-82.712914
5614.782715	-80.986908
5620.166016	-81.780151
5625.549316	-85.129478
5630.932617	-80.533401
5636.315918	-77.452713
5641.699219	-78.103874
5647.082520	-78.674232
5652.465820	-79.546867
5657.849121	-85.489792
5663.232422	-86.382568
5668.615723	-89.113434
5673.999023	-83.160957
5679.382324	-82.693207
5684.765625	-85.187477
5690.148926	-87.493004
5695.532227	-85.209717
5700.915527	-99.839172
5706.298828	-85.666878
5711.682129	-90.254967
5717.065430	-89.017166
5722.448730	-89.022751
5727.832031	-95.930359
5733.215332	-99.362900
5738.598633	-94.202690
5743.981934	-88.088921
5749.365234	-88.710724
5754.748535	-96.170876
5760.131836	-96.475204
5765.515137	-95.007492
5770.898438	-89.682129
5776.281738	-81.184853
5781.665039	-79.110313
5787.048340	-83.932793
5792.431641	-91.793137
5797.814941	-88.698845
5803.198242	-79.420013
5808.581543	-78.581337
5813.964844	-83.715240
5819.348145	-94.841103
5824.731445	-90.250320
5830.114746	-83.755432
5835.498047	-83.842407
5840.881348	-86.502075
5846.264648	-91.420967
5851.647949	-92.370857
5857.031250	-92.123444
5862.414551	-96.782043
5867.797852	-96.984589
5873.181152	-96.256828
5878.564453	-96.051811
5883.947754	-97.520340
5889.331055	-97.650009
5894.714355	-95.154526
5900.097656	-100.985649
5905.480957	-94.441925
5910.864258	-87.109901
5916.247559	-85.539230
5921.630859	-85.737411
5927.014160	-88.427460
5932.397461	-90.417068
5937.780762	-86.536026
5943.164062	-84.536850
5948.547363	-85.374207
5953.930664	-90.084679
5959.313965	-93.105927
5964.697266	-95.628448
5970.080566	-93.350479
5975.463867	-90.619804
5980.847168	-89.225792
5986.230469	-88.363937
5991.613770	-88.876785
5996.997070	-97.730324
6002.380371	-91.675156
6007.763672	-86.310738
6013.146973	-83.735779
6018.530273	-83.009918
6023.913574	-83.932968
6029.296875	-83.919037
6034.680176	-82.529846
6040.063477	-82.501518
6045.446777	-84.005287
6050.830078	-84.280258
6056.213379	-88.728691
6061.596680	-91.889214
6066.979980	-81.841270
6072.363281	-80.960609
6077.746582	-86.456413
6083.129883	-93.079239
6088.513184	-88.451500
6093.896484	-88.360016
6099.279785	-88.959648
6104.663086	-86.827873
6110.046387	-82.560760
6115.429688	-80.863289
6120.812988	-80.659424
6126.196289	-81.788979
6131.579590	-83.971054
6136.962891	-86.222443
6142.346191	-87.313583
6147.729492	-89.823845
6153.112793	-93.573944
6158.496094	-90.867401
6163.879395	-88.206940
6169.262695	-85.969368
6174.645996	-83.917046
6180.029297	-83.611122
6185.412598	-84.622719
6190.795898	-85.260399
6196.179199	-90.163376
6201.562500	-90.605927
6206.945801	-85.808151
6212.329102	-85.751877
6217.712402	-82.173737
6223.095703	-82.658127
6228.479004	-86.485733
6233.862305	-84.161354
6239.245605	-83.826836
6244.628906	-87.789772
6250.012207	-94.059418
6255.395508	-88.563858
6260.778809	-85.041069
6266.162109	-82.287910
6271.545410	-80.545639
6276.928711	-83.020760
6282.312012	-82.261421
6287.695312	-83.783234
6293.078613	-86.282059
6298.461914	-89.198189
6303.845215	-85.037819
6309.228516	-83.459846
6314.611816	-86.993324
6319.995117	-87.810112
6325.378418	-96.401253
6330.761719	-93.169266
6336.145020	-91.454811
