Frequency (Hz)	Level (dB)
5340.234375	-78.327621
5345.617676	-81.373100
5351.000977	-76.073326
5356.384277	-79.342979
5361.767578	-83.558846
5367.150879	-91.949287
5372.534180	-84.860695
5377.917480	-81.819931
5383.300781	-91.276131
5388.684082	-79.736443
5394.067383	-78.745026
5399.450684	-84.337753
5404.833984	-89.114563
5410.217285	-81.640877
5415.600586	-82.743111
5420.983887	-88.088333
5426.367188	-88.245132
5431.750488	-93.221924
5437.133789	-101.923454
5442.517090	-96.675774
5447.900391	-91.491600
5453.283691	-87.412781
5458.666992	-95.200272
5464.050293	-101.313316
5469.433594	-102.466354
5474.816895	-97.126015
5480.200195	-96.238770
5485.583496	-92.993950
5490.966797	-87.830147
5496.350098	-87.281578
5501.733398	-94.949539
5507.116699	-100.728844
5512.500000	-101.870789
5517.883301	-99.685181
5523.266602	-100.790268
5528.649902	-94.011887
5534.033203	-93.710655
5539.416504	-92.714531
5544.799805	-90.422691
5550.183105	-89.724304
5555.566406	-89.121475
5560.949707	-87.835243
5566.333008	-87.643501
5571.716309	-91.096352
5577.099609	-89.731384
5582.482910	-89.626564
5587.866211	-89.820808
5593.249512	-89.976562
5598.632812	-90.868195
5604.016113	-95.134895
5609.399414	-90.599579
5614.782715	-91.755798
5620.166016	-94.853622
5625.549316	-90.987175
5630.932617	-89.236870
5636.315918	-87.208702
5641.699219	-86.199753
5647.082520	-89.627388
5652.465820	-89.834305
5657.849121	-89.972771
5663.232422	-93.440849
5668.615723	-89.077431
5673.999023	-91.320000
5679.382324	-88.029099
5684.765625	-84.452248
5690.148926	-94.988083
5695.532227	-81.580734
5700.915527	-83.878029
5706.298828	-82.470284
5711.682129	-80.762093
5717.065430	-79.700180
5722.448730	-78.556091
5727.832031	-80.639885
5733.215332	-80.329239
5738.598633	-82.077904
5743.981934	-80.228157
5749.365234	-78.245972
5754.748535	-83.926170
5760.131836	-83.533691
5765.515137	-79.046051
5770.898438	-80.906853
5776.281738	-86.626663
5781.665039	-80.964371
5787.048340	-82.618073
5792.431641	-90.692604
5797.814941	-99.497742
5803.198242	-95.427681
5808.581543	-99.231873
5813.964844	-90.611671
5819.348145	-89.306831
5824.731445	-86.765236
5830.114746	-83.094940
5835.498047	-82.490807
5840.881348	-88.389481
5846.264648	-80.339134
5851.647949	-79.556381
5857.031250	-81.164398
5862.414551	-81.221069
5867.797852	-88.574303
5873.181152	-77.401993
5878.564453	-76.962639
5883.947754	-80.326927
5889.331055	-83.634628
5894.714355	-80.465950
5900.097656	-79.221725
5905.480957	-89.475182
5910.864258	-85.085373
5916.247559	-79.193687
5921.630859	-76.469643
5927.014160	-78.747421
5932.397461	-103.777962
5937.780762	-80.031395
5943.164062	-80.030334
5948.547363	-84.076347
5953.930664	-81.385765
5959.313965	-77.799240
5964.697266	-78.678101
5970.080566	-88.950424
5975.463867	-81.975281
5980.847168	-78.093132
5986.230469	-79.241203
5991.613770	-78.287193
5996.997070	-77.809868
6002.380371	-80.725021
6007.763672	-86.660934
6013.146973	-91.004761
6018.530273	-85.528687
6023.913574	-82.366302
6029.296875	-81.856499
6034.680176	-84.166412
6040.063477	-94.222198
6045.446777	-89.487907
6050.830078	-83.289597
6056.213379	-85.557457
6061.596680	-88.336678
6066.979980	-79.275055
6072.363281	-80.990540
6077.746582	-75.939369
6083.129883	-72.101288
6088.513184	-73.299644
6093.896484	-77.922974
6099.279785	-75.395714
6104.663086	-72.314980
