Frequency (Hz)	Level (dB)
2094.104004	-74.020157
2099.487305	-73.603226
2104.870605	-76.511810
2110.253906	-75.108810
2115.637207	-74.309021
2121.020508	-73.043739
2126.403809	-75.471916
2131.787109	-75.870972
2137.170410	-75.146461
2142.553711	-78.499756
2147.937012	-79.328659
2153.320312	-77.233040
2158.703613	-76.824677
2164.086914	-75.722519
2169.470215	-73.993950
2174.853516	-73.890266
2180.236816	-78.592316
2185.620117	-76.972313
2191.003418	-77.058861
2196.386719	-71.840225
2201.770020	-74.083466
2207.153320	-73.587585
2212.536621	-69.853348
2217.919922	-73.870422
2223.303223	-79.436920
2228.686523	-76.197769
2234.069824	-74.927483
2239.453125	-80.419052
2244.836426	-74.758202
2250.219727	-71.602669
2255.603027	-73.377007
2260.986328	-79.252686
2266.369629	-87.804977
2271.752930	-75.794098
2277.136230	-75.352234
2282.519531	-81.783752
2287.902832	-77.899292
2293.286133	-75.527718
2298.669434	-74.750191
2304.052734	-75.194305
2309.436035	-85.384872
2314.819336	-72.569595
2320.202637	-67.815506
2325.585938	-69.332787
2330.969238	-78.885063
2336.352539	-80.841766
2341.735840	-74.707924
2347.119141	-76.163567
2352.502441	-82.516197
2357.885742	-76.810555
2363.269043	-80.075233
2368.652344	-76.179710
2374.035645	-82.279045
2379.418945	-74.054924
2384.802246	-74.366898
2390.185547	-70.405045
2395.568848	-66.755730
2400.952148	-69.864365
2406.335449	-78.352531
2411.718750	-76.077324
2417.102051	-72.907097
2422.485352	-70.745354
2427.868652	-81.842346
2433.251953	-91.745750
2438.635254	-81.767868
2444.018555	-75.523788
2449.401855	-74.385086
2454.785156	-78.834244
2460.168457	-84.176743
2465.551758	-79.112427
2470.935059	-73.821358
2476.318359	-85.710960
2481.701660	-81.424049
2487.084961	-73.886375
2492.468262	-75.712875
2497.851562	-85.248573
2503.234863	-79.519203
2508.618164	-80.645699
2514.001465	-73.416458
2519.384766	-72.550644
2524.768066	-74.613678
2530.151367	-72.314301
2535.534668	-73.112541
2540.917969	-81.085571
2546.301270	-78.409050
2551.684570	-86.014542
2557.067871	-78.369087
2562.451172	-74.762383
2567.834473	-77.151367
2573.217773	-85.984871
2578.601074	-96.873756
