Frequency (Hz)	Level (dB)
2869.299316	-73.213493
2874.682617	-78.622032
2880.065918	-79.537697
2885.449219	-78.090294
2890.832520	-74.215622
2896.215820	-81.355904
2901.599121	-73.411903
2906.982422	-69.640259
2912.365723	-76.180725
2917.749023	-80.422279
2923.132324	-80.291397
2928.515625	-76.810844
2933.898926	-74.347801
2939.282227	-75.158669
2944.665527	-73.806572
2950.048828	-76.702080
2955.432129	-71.649498
2960.815430	-69.668892
2966.198730	-78.450554
2971.582031	-68.913345
2976.965332	-68.625755
2982.348633	-74.425377
2987.731934	-74.529236
2993.115234	-70.205429
2998.498535	-71.185020
3003.881836	-75.377205
3009.265137	-70.473602
3014.648438	-64.523186
3020.031738	-47.404446
3025.415039	-35.879261
3030.798340	-37.045383
3036.181641	-52.316536
3041.564941	-65.707199
3046.948242	-73.583488
3052.331543	-72.318962
3057.714844	-75.333717
3063.098145	-76.071541
3068.481445	-73.586052
3073.864746	-77.359207
3079.248047	-75.922821
3084.631348	-75.957848
3090.014648	-76.414307
3095.397949	-71.920578
3100.781250	-75.426971
3106.164551	-77.009041
3111.547852	-74.518806
3116.931152	-75.881607
3122.314453	-83.960526
3127.697754	-81.762505
3133.081055	-76.048325
3138.464355	-76.476974
3143.847656	-72.794228
3149.230957	-72.103439
3154.614258	-75.244064
3159.997559	-80.764229
3165.380859	-82.286102
3170.764160	-81.185257
3176.147461	-73.459229
3181.530762	-72.620544
3186.914062	-76.773827
3192.297363	-79.711067
3197.680664	-75.889862
3203.063965	-74.289474
3208.447266	-74.111145
3213.830566	-75.880539
3219.213867	-77.895584
3224.597168	-83.987015
3229.980469	-76.872444
3235.363770	-76.868935
3240.747070	-76.864937
3246.130371	-78.519394
3251.513672	-89.543671
3256.896973	-80.488228
3262.280273	-80.160263
3267.663574	-83.304985
3273.046875	-75.641853
3278.430176	-74.111099
3283.813477	-71.298164
3289.196777	-71.684631
3294.580078	-71.952339
3299.963379	-72.854294
3305.346680	-69.461800
3310.729980	-74.915787
3316.113281	-79.830399
3321.496582	-70.521667
3326.879883	-71.521889
3332.263184	-77.628983
3337.646484	-83.409882
3343.029785	-83.913742
3348.413086	-76.341545
3353.796387	-75.647560
3359.179688	-77.379913
3364.562988	-85.976540
3369.946289	-96.056953
3375.329590	-81.728737
3380.712891	-81.533104
3386.096191	-82.496613
3391.479492	-76.350243
3396.862793	-73.557808
3402.246094	-76.334511
3407.629395	-87.334473
3413.012695	-84.349831
3418.395996	-78.083435
3423.779297	-83.062927
3429.162598	-78.415543
3434.545898	-77.332474
3439.929199	-70.740219
3445.312500	-57.780960
3450.695801	-57.286388
3456.079102	-65.687996
3461.462402	-70.838966
3466.845703	-70.519203
3472.229004	-73.581146
3477.612305	-78.616768
3482.995605	-73.171783
3488.378906	-81.756195
3493.762207	-78.251923
3499.145508	-79.101814
3504.528809	-83.090652
3509.912109	-79.962990
3515.295410	-83.986046
3520.678711	-80.940170
3526.062012	-88.914162
3531.445312	-79.114899
3536.828613	-84.790703
3542.211914	-81.371460
3547.595215	-84.550980
3552.978516	-81.203850
3558.361816	-88.634605
3563.745117	-88.213737
3569.128418	-85.425026
3574.511719	-84.827271
3579.895020	-84.425041
3585.278320	-82.545181
3590.661621	-88.778419
3596.044922	-84.841904
3601.428223	-87.145821
3606.811523	-85.412025
3612.194824	-89.236130
3617.578125	-86.070480
3622.961426	-77.257011
3628.344727	-74.618774
3633.728027	-80.843590
3639.111328	-76.648003
